ESTU_GENERO,ESTU_VALORMATRICULAUNIVERSIDAD,ESTU_PAGOMATRICULACREDITO,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_NUMPERSONASACARGO,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL,FELICIDAD
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,2,Más de 30 horas,152,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,152,60%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,No,5 o 6,Entre 21 y 30 horas,152,60%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,152,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,2,Más de 30 horas,151,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,146,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,No,Si,No,Si,3 o 4,Menos de 10 horas,146,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,2,Entre 11 y 20 horas,145,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,No,3 o 4,0,145,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,145,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,3 o 4,Entre 21 y 30 horas,144,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,No,No,No,1,Menos de 10 horas,140,60%
M,No pagó matrícula,Si,Estrato 2,Si,Si,Si,No,No,3 o 4,0,140,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,Entre 21 y 30 horas,139,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,No,No,Si,3 o 4,Entre 11 y 20 horas,137,60%
M,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,135,60%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 2,No,Si,No,Si,Si,1,Menos de 10 horas,135,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,No,3 o 4,0,134,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,134,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,Si,Si,5 o 6,Entre 11 y 20 horas,134,60%
F,Menos de 500 mil,Si,Estrato 3,Si,Si,No,No,Si,2,Menos de 10 horas,132,60%
F,Menos de 500 mil,No,Estrato 1,Si,Si,,Si,Si,3 o 4,Menos de 10 horas,132,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,131,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,No,No,Si,3 o 4,Entre 11 y 20 horas,131,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,Si,No,1,Más de 30 horas,129,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,129,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,128,60%
F,Menos de 500 mil,No,Estrato 1,Si,Si,No,No,No,2,0,124,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,No,2,Menos de 10 horas,124,60%
F,Menos de 500 mil,Si,Estrato 3,Si,Si,Si,Si,No,1,Más de 30 horas,124,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,2,Más de 30 horas,124,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,124,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,Si,Si,5 o 6,Más de 30 horas,124,60%
M,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,123,60%
M,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Entre 21 y 30 horas,122,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,No,No,0,Entre 11 y 20 horas,121,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,No,No,No,3 o 4,0,121,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,2,Más de 30 horas,121,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,5 o 6,Menos de 10 horas,117,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 1,Si,Si,Si,Si,No,2,Menos de 10 horas,115,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,113,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,110,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,107,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,2,Entre 11 y 20 horas,104,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 5,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,100,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 1,Si,Si,Si,No,Si,1,Entre 21 y 30 horas,99,60%
M,Menos de 500 mil,No,Estrato 2,Si,No,Si,Si,No,3 o 4,Menos de 10 horas,92,60%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,5 o 6,Menos de 10 horas,86,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,No,2,Entre 11 y 20 horas,84,60%
M,Más de 7 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,0,75,60%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Entre 11 y 20 horas,73,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Entre 21 y 30 horas,26,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,24,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,15,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,No,2,Más de 30 horas,7,60%
M,Más de 7 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,0,190,60%
F,Más de 7 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,0,183,60%
M,Más de 7 millones,No,Estrato 3,Si,Si,Si,No,Si,5 o 6,Menos de 10 horas,182,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,178,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,No,Si,Si,No,Si,2,Entre 21 y 30 horas,176,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,1,Más de 30 horas,175,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,No,No,3 o 4,0,175,60%
F,Más de 7 millones,Si,Estrato 3,Si,Si,Si,Si,No,3 o 4,0,174,60%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 6,Si,Si,Si,No,No,0,Más de 30 horas,173,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,No,2,Más de 30 horas,172,60%
F,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,170,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,No,No,No,1,Menos de 10 horas,166,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,5 o 6,Entre 11 y 20 horas,166,60%
M,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,No,1,Más de 30 horas,165,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,No,No,Si,1,Más de 30 horas,165,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 3,Si,Si,No,No,Si,1,Entre 21 y 30 horas,162,60%
F,Entre 4 millones y menos de 5.5 millones,Si,Estrato 3,Si,Si,Si,Si,No,0,Más de 30 horas,159,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,1,Más de 30 horas,158,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,No,2,Más de 30 horas,158,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,Si,No,5 o 6,Entre 11 y 20 horas,157,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,No,No,2,Más de 30 horas,156,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,No,2,Más de 30 horas,154,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,No,No,Si,3 o 4,Menos de 10 horas,153,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,No,3 o 4,Entre 11 y 20 horas,151,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,Si,No,2,Más de 30 horas,151,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,Si,5 o 6,Entre 11 y 20 horas,151,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,Si,No,No,2,Entre 11 y 20 horas,149,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,No,No,Si,1,Entre 21 y 30 horas,148,60%
F,Entre 5.5 millones y menos de 7 millones,Si,Estrato 3,Si,Si,Si,No,Si,3 o 4,0,147,60%
F,Más de 7 millones,No,Estrato 4,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,145,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,144,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,143,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,142,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 5,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,141,60%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 3,Si,Si,Si,No,Si,1,Más de 30 horas,141,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,2,Más de 30 horas,141,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,No,2,Más de 30 horas,139,60%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 1,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,139,60%
F,Más de 7 millones,Si,Estrato 2,Si,Si,Si,Si,No,1,Menos de 10 horas,137,60%
M,Más de 7 millones,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,Menos de 10 horas,137,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,No,No,1,Entre 11 y 20 horas,136,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,No,No,1,Entre 11 y 20 horas,136,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,No,1,Más de 30 horas,136,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 4,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,135,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,135,60%
M,Entre 5.5 millones y menos de 7 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,0,134,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,No,Si,2,Entre 11 y 20 horas,132,60%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,2,Más de 30 horas,131,60%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,131,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,No,No,Si,3 o 4,Menos de 10 horas,131,60%
M,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,131,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 4,Si,Si,Si,Si,No,1,Más de 30 horas,129,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,No,Si,Si,No,Si,3 o 4,Menos de 10 horas,129,60%
F,Menos de 500 mil,No,Estrato 4,Si,No,Si,Si,No,2,Más de 30 horas,128,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,No,Si,No,No,3 o 4,0,126,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 1,Si,Si,Si,No,No,3 o 4,0,124,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,No,No,Si,2,Entre 11 y 20 horas,123,60%
M,Menos de 500 mil,Si,Estrato 2,Si,Si,Si,No,No,2,Menos de 10 horas,121,60%
F,Entre 5.5 millones y menos de 7 millones,Si,Estrato 3,Si,Si,Si,Si,No,3 o 4,0,121,60%
M,Menos de 500 mil,No,Estrato 2,Si,No,Si,Si,No,3 o 4,Entre 11 y 20 horas,119,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,No,No,Si,2,Entre 11 y 20 horas,117,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,2,Más de 30 horas,117,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,116,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,Si,2,Más de 30 horas,115,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,Si,Si,2,Más de 30 horas,115,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,5 o 6,Más de 30 horas,110,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,No,No,Si,3 o 4,Menos de 10 horas,107,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,No,3 o 4,Entre 11 y 20 horas,104,60%
F,No pagó matrícula,No,Estrato 1,Si,Si,No,No,No,0,Entre 21 y 30 horas,100,60%
F,Menos de 500 mil,No,Estrato 1,No,Si,Si,No,Si,5 o 6,0,96,60%
F,Menos de 500 mil,Si,Estrato 3,Si,Si,Si,Si,Si,5 o 6,Entre 21 y 30 horas,91,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,90,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Entre 21 y 30 horas,62,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,2,Más de 30 horas,46,60%
M,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,1,Más de 30 horas,40,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,No,No,No,0,Entre 11 y 20 horas,38,60%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,No,0,Más de 30 horas,37,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,No,Si,3 o 4,0,26,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 6,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,23,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,No,Si,No,Si,2,Menos de 10 horas,14,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,No,No,Si,5 o 6,Entre 11 y 20 horas,207,50%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,No,5 o 6,Entre 11 y 20 horas,198,50%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,No,No,Si,2,Entre 11 y 20 horas,196,50%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,No,3 o 4,Entre 11 y 20 horas,189,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,182,50%
F,Más de 7 millones,No,Estrato 2,Si,Si,Si,No,No,3 o 4,0,179,50%
M,Menos de 500 mil,No,Estrato 4,Si,Si,Si,No,No,3 o 4,Más de 30 horas,175,50%
M,Más de 7 millones,Si,Estrato 2,Si,Si,Si,Si,No,3 o 4,0,173,50%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,172,50%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,172,50%
M,Entre 4 millones y menos de 5.5 millones,No,Estrato 4,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,169,50%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,No,1,Más de 30 horas,166,50%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,166,50%
F,Más de 7 millones,No,Estrato 2,Si,Si,Si,No,No,1,Entre 11 y 20 horas,165,50%
F,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,164,50%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,No,Si,5 o 6,Menos de 10 horas,162,50%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,No,1,Más de 30 horas,160,50%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,No,No,No,3 o 4,0,159,50%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,No,2,Más de 30 horas,158,50%
F,Entre 4 millones y menos de 5.5 millones,Si,Estrato 2,Si,Si,No,No,Si,0,Entre 11 y 20 horas,158,50%
F,Más de 7 millones,No,Estrato 2,Si,Si,Si,No,No,3 o 4,0,156,50%
F,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,156,50%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,Si,5 o 6,Más de 30 horas,156,50%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,No,1,Más de 30 horas,155,50%
F,Menos de 500 mil,No,Estrato 2,Si,Si,No,Si,No,3 o 4,Entre 21 y 30 horas,155,50%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Entre 21 y 30 horas,155,50%
F,Más de 7 millones,No,Estrato 2,Si,Si,Si,No,No,3 o 4,0,154,50%
F,No pagó matrícula,No,Estrato 3,No,Si,Si,Si,No,3 o 4,Más de 30 horas,154,50%
F,Entre 5.5 millones y menos de 7 millones,Si,Estrato 3,Si,Si,Si,Si,No,5 o 6,0,154,50%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,3 o 4,Más de 30 horas,153,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,No,No,Si,1,Más de 30 horas,153,50%
M,Entre 5.5 millones y menos de 7 millones,No,Estrato 3,Si,Si,Si,No,No,1,Entre 21 y 30 horas,151,50%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 3,Si,Si,Si,Si,No,2,Más de 30 horas,151,50%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Entre 21 y 30 horas,151,50%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 4,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,150,50%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,No,Si,Si,3 o 4,Más de 30 horas,148,50%
M,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,No,3 o 4,Entre 11 y 20 horas,145,50%
M,No pagó matrícula,Si,Estrato 2,Si,Si,Si,Si,No,3 o 4,Entre 21 y 30 horas,144,50%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 1,Si,Si,Si,No,Si,2,Entre 11 y 20 horas,143,50%
M,Entre 5.5 millones y menos de 7 millones,Si,Estrato 2,Si,Si,Si,No,Si,3 o 4,0,143,50%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 1,Si,Si,Si,No,No,1,Menos de 10 horas,142,50%
F,Entre 5.5 millones y menos de 7 millones,Si,Estrato 2,Si,Si,Si,Si,No,2,Menos de 10 horas,142,50%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,141,50%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,Si,2,Más de 30 horas,141,50%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 1,Si,Si,Si,No,No,3 o 4,0,139,50%
M,No pagó matrícula,No,Estrato 2,Si,Si,No,No,No,3 o 4,Menos de 10 horas,139,50%
F,Menos de 500 mil,No,Estrato 1,Si,No,No,No,Si,3 o 4,0,138,50%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 2,Si,Si,Si,No,Si,2,Entre 21 y 30 horas,137,50%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,No,Si,Si,No,Si,3 o 4,Menos de 10 horas,137,50%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,137,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,No,No,3 o 4,Entre 21 y 30 horas,136,50%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,134,50%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,133,50%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 5,Si,Si,Si,Si,No,3 o 4,Entre 21 y 30 horas,133,50%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,Si,5 o 6,Entre 11 y 20 horas,132,50%
F,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,131,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,131,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,131,50%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,131,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Entre 21 y 30 horas,129,50%
F,No pagó matrícula,No,Estrato 2,Si,Si,No,No,No,0,Más de 30 horas,127,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,Entre 11 y 20 horas,127,50%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Más de 30 horas,124,50%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,No,Si,Si,2,Más de 30 horas,124,50%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 2,Si,Si,Si,No,Si,2,Entre 11 y 20 horas,123,50%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,No,No,2,Menos de 10 horas,122,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,122,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,Entre 11 y 20 horas,122,50%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,No,Si,2,Entre 21 y 30 horas,122,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,121,50%
F,No pagó matrícula,Si,Estrato 2,Si,Si,Si,No,No,5 o 6,0,118,50%
M,Entre 500 mil y menos de 1 millón,Si,Estrato 2,Si,Si,Si,No,Si,1,Más de 30 horas,117,50%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,No,No,3 o 4,Entre 21 y 30 horas,115,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,114,50%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,No,Si,No,No,1,0,110,50%
F,Entre 4 millones y menos de 5.5 millones,Si,Estrato 3,Si,Si,Si,No,No,0,Entre 11 y 20 horas,107,50%
F,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,No,3 o 4,Entre 11 y 20 horas,107,50%
F,Más de 7 millones,No,Estrato 1,Si,Si,No,Si,Si,3 o 4,Menos de 10 horas,107,50%
M,Entre 4 millones y menos de 5.5 millones,Si,Estrato 3,Si,Si,Si,No,No,1,Menos de 10 horas,104,50%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,104,50%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,No,Si,No,Si,Si,3 o 4,Menos de 10 horas,104,50%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,Si,5 o 6,Más de 30 horas,103,50%
M,Menos de 500 mil,No,Estrato 3,Si,No,Si,No,No,2,Entre 11 y 20 horas,101,50%
M,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,No,No,Si,1,Más de 30 horas,100,50%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 1,Si,No,Si,No,Si,1,Entre 11 y 20 horas,96,50%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Entre 21 y 30 horas,93,50%
F,Menos de 500 mil,No,Estrato 2,Si,Si,No,Si,Si,3 o 4,Más de 30 horas,88,50%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,2,Más de 30 horas,85,50%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 3,Si,Si,Si,No,No,1,Menos de 10 horas,77,50%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 3,Si,Si,Si,Si,No,2,Entre 11 y 20 horas,74,50%
M,Menos de 500 mil,No,Estrato 2,Si,Si,No,No,Si,5 o 6,Menos de 10 horas,66,50%
F,Más de 7 millones,No,Estrato 4,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,62,50%
